Episode,Reward,Steps,Completed,Deadlock
462,89.04999999999998,32,True,False
463,86.74999999999999,39,True,False
464,97.35,22,True,False
465,82.55,45,True,False
466,84.44999999999999,46,True,False
467,91.65,19,True,False
468,-481.55000000000194,500,False,False
469,-465.9500000000018,500,False,False
470,-417.20000000000186,500,False,False
471,101.35,20,True,False
472,97.55,18,True,False
473,93.35,24,True,False
474,-444.5000000000025,500,False,False
475,99.65,15,True,False
476,107.75,9,True,False
477,107.25,19,True,False
478,-93.45,16,False,True
479,-440.60000000000196,500,False,False
480,105.55000000000001,14,True,False
481,-473.75000000000193,500,False,False
482,107.65,11,True,False
483,-460.10000000000224,500,False,False
484,83.15,33,True,False
485,-469.8500000000024,500,False,False
486,68.95000000000002,44,True,False
487,-475.70000000000243,500,False,False
488,-438.65000000000185,500,False,False
489,105.55,14,True,False
490,72.65000000000002,48,True,False
491,105.65,12,True,False
492,-446.45000000000203,500,False,False
493,-452.30000000000194,500,False,False
494,103.45,17,True,False
495,-444.5000000000021,500,False,False
496,86.64999999999999,41,True,False
497,89.45,24,True,False
498,91.14999999999999,29,True,False
499,99.55,17,True,False
500,87.45,25,True,False
501,109.75,8,True,False
502,72.95,42,True,False
503,109.75,8,True,False
504,-534.2000000000021,500,False,False
505,-132.34999999999994,53,False,True
506,-393.80000000000194,500,False,False
507,103.75,11,True,False
508,-436.70000000000203,500,False,False
509,-115.85,35,False,True
510,99.35,21,True,False
511,95.45,21,True,False
512,97.65,16,True,False
513,-444.50000000000193,500,False,False
514,-487.4000000000021,500,False,False
515,-91.75,21,False,True
516,101.35,20,True,False
517,109.55,12,True,False
518,101.25,22,True,False
519,-487.40000000000236,500,False,False
520,-483.50000000000233,500,False,False
521,-440.60000000000235,500,False,False
522,-452.3000000000022,500,False,False
523,78.35,51,True,False
524,-405.5000000000023,500,False,False
525,-487.400000000002,500,False,False
526,77.15000000000002,36,True,False
527,-91.45,15,False,True
528,-403.55000000000246,500,False,False
529,6.350000000000179,126,True,False
530,-432.8000000000025,500,False,False
531,92.44999999999999,42,True,False
532,101.65,14,True,False
533,82.44999999999999,47,True,False
534,-97.75,24,False,True
535,76.44999999999999,50,True,False
536,61.95000000000006,67,True,False
537,-95.65,21,False,True
538,-132.84999999999997,63,False,True
539,113.65,8,True,False
540,107.25,19,True,False
541,91.15,29,True,False
542,86.94999999999999,35,True,False
543,40.55000000000004,66,True,False
544,101.45,18,True,False
545,-434.75000000000193,500,False,False
546,83.35,29,True,False
547,24.450000000000074,76,True,False
548,62.95000000000003,47,True,False
549,-14.049999999999855,144,True,False
550,-103.95,31,False,True
551,105.65,12,True,False
552,-448.40000000000254,500,False,False
553,45.250000000000085,89,True,False
554,97.45,20,True,False
555,97.75,14,True,False
556,-123.94999999999997,41,False,True
557,113.65,8,True,False
558,-425.00000000000216,500,False,False
559,103.55,15,True,False
560,94.94999999999999,31,True,False
561,91.65,19,True,False
562,-138.14999999999998,52,False,True
563,93.14999999999999,28,True,False
564,-444.5000000000026,500,False,False
565,-464.00000000000216,500,False,False
566,91.14999999999999,29,True,False
567,-456.200000000002,500,False,False
568,103.65,13,True,False
569,72.75000000000001,46,True,False
570,99.35,21,True,False
571,107.75,9,True,False
572,83.44999999999999,27,True,False
573,107.75,9,True,False
574,-101.95,30,False,True
575,97.65,16,True,False
576,93.05,30,True,False
577,-126.34999999999998,50,False,True
578,-109.35,22,False,True
579,-475.7000000000022,500,False,False
580,103.55,15,True,False
581,115.75,5,True,False
582,83.15,33,True,False
583,-481.55000000000206,500,False,False
584,86.75,39,True,False
